Unnamed: 0.1,Unnamed: 0,plural,male,female,title,male_eng,female_eng,male_cnt,female_cnt,total
0,0,Абаза,Абаза,Абаза,2,abaza,abaza,412,412,412
1,1,Абакумовы,Абакумов,Абакумова,1,abakumov,abakumova,7187,8511,15698
2,5,Абамелики,Абамелики,Абамелики,5,abameliki,abameliki,0,0,0
3,6,Абамелик,Абамелик,Абамелик,5,abamelik,abamelik,2,2,2
4,7,Абиецкие,Абиецкий,Абиецкая,1,abietsky,abietskaya,0,0,0
5,9,Абловы,Аблов,Аблова,6,ablov,ablova,177,244,421
6,10,Абрамовы,Абрамов,Абрамова,2,abramov,abramova,81978,94995,176973
7,11,Абрамовичи-Барановские,Абрамович-Барановский,Абрамович-Барановская,2,abramovich-baranovsky,abramovich-baranovskaya,0,0,0
8,12,Абросимовы,Абросимов,Абросимова,3,abrosimov,abrosimova,13839,14920,28759
9,13,Абулаевы,Абулаев,Абулаева,4,abulaev,abulaeva,34,19,53
10,14,Абуховские,Абуховский,Абуховская,2,abukhovsky,abukhovskaya,12,8,20
11,15,Авакаров,Авакаров,Авакарова,2,avakarov,avakarova,0,0,0
12,16,Аввакумовы,Аввакумов,Аввакумова,1,avvakumov,avvakumova,2767,2856,5623
13,17,Авакумовы,Авакумов,Авакумова,1,avakumov,avakumova,232,247,479
14,18,Авдуловы,Авдулов,Авдулова,2,avdulov,avdulova,239,202,441
15,20,Аверкиевы,Аверкиев,Аверкиева,2,averkiev,averkieva,2212,2586,4798
16,21,Аверьяновы,Аверьянов,Аверьянова,2,averyanov,averyanova,12622,13126,25748
17,22,Авловы,Авлов,Авлова,2,avlov,avlova,87,135,222
18,23,Аврамовы,Аврамов,Аврамова,2,avramov,avramova,1018,883,1901
19,25,Агаповы,Агапов,Агапова,3,agapov,agapova,16612,19177,35789
20,26,Агафоновы,Агафонов,Агафонова,3,agafonov,agafonova,33563,40067,73630
21,27,Агеевы,Агеев,Агеева,3,ageev,ageeva,24003,26669,50672
22,31,Агентовы,Агентов,Агентова,2,agentov,agentova,83,50,133
23,33,Аграновские,Аграновский,Аграновская,3,agranovsky,agranovskaya,104,155,259
24,34,Агреневы,Агренев,Агренева,3,agrenev,agreneva,10,1,11
25,35,Адами,Адами,Адами,3,adami,adami,16,16,16
26,36,Адамс,Адамс,Адамс,3,adams,adams,990,990,990
27,37,Адлер,Адлер,Адлер,2,adler,adler,1183,1183,1183
28,38,Адлерберг,Адлерберг,Адлерберг,5,adlerberg,adlerberg,25,25,25
29,39,Азанчевские,Азанчевский,Азанчевская,2,azanchevsky,azanchevskaya,6,25,31
30,41,Азанчевские-Азанчеевы,Азанчевский-Азанчеев,Азанчевская-Азанчеева,6,azanchevskiy-azancheev,azanchevskaya-azancheeva,0,0,0
31,42,Азанчеевы-Азанчевские,Азанчеев-Азанчевский,Азанчеева-Азанчевская,6,azancheev-azanchevsky,azancheeva-azanchevskaya,0,0,0
32,44,Азаревичи,Азаревич,Азаревич,3,azarevich,azarevich,198,198,198
